n,cc,y,r,rat,f,d
Bigo Live,,0,variant,"Bigo Live is a global social live-streaming platform with virtual gifting as primary monetization, a known example and JOYY subsidiary targeting Southeast Asia and global markets.",media_entertainment__social_live_streaming,bigo.tv
Tango Me,USA,2009,variant,Tango Me is a US-based live-streaming platform centered on hosts broadcasting entertainment content monetized primarily through virtual gifting from viewers.,media_entertainment__social_live_streaming,tango.me
Bucketplace,KOR,2014,variant,"Operates Ohouse, Korea's largest all-in-one interior platform combining user-generated design content, professional matching, and home product commerce—a direct Houzz-for-Korea replication.",proptech__home_interior_platform,bucketplace.com
Livspace,IND,2014,variant,"India's leading interior design and renovation platform that combines design inspiration content with an end-to-end marketplace connecting homeowners to designers, contractors, and products.",proptech__home_interior_platform,livspace.com
Weibo,CHN,2016,variant,"Weibo is China's dominant public microblogging platform with follower graphs, reposts, trending topics, and ad monetization—a direct Twitter analogue for the Chinese market.",social_community__microblogging,weibo.com
Koo App,IND,2020,variant,"Koo App is an Indian public microblogging platform explicitly modeled on Twitter, supporting multi-language short-form posting, trending topics, and public discourse in India.",social_community__microblogging,kooapp.com
Tantan,CHN,2014,variant,"Tantan is a Chinese swipe-based mobile dating app explicitly modeled on Tinder's card-swipe, mutual-match, and location-based discovery mechanics.",social_community__swipe_dating,tantanapp.com
Trulymadly,IND,2013,variant,"TrulyMadly is an Indian dating app that incorporates swipe-based discovery and mutual matching, serving as a Tinder-like platform adapted for the Indian market.",social_community__swipe_dating,trulymadly.com
Tujia,CHN,2011,variant,"Tujia is the leading Airbnb-like peer-to-peer vacation rental marketplace in China, replicating the host-listing and transactional booking model for the Chinese market.",travel_hospitality__p2p_shortterm_rental_marketplace,tujia.com
Xiaozhu.com,CHN,2012,variant,"Xiaozhu is a Chinese P2P short-term rental platform connecting individual landlords with tenants/travelers via platform-mediated transactions, directly mirroring Airbnb's model.",travel_hospitality__p2p_shortterm_rental_marketplace,xiaozhu.com
Mafengwo,CHN,2010,variant,"Mafengwo is a Chinese travel social network centered on user-generated travel experiences, reviews, and guides — a clear 'Tripadvisor for China' with the same UGC-driven SEO and network-effects mechanism.",travel_hospitality__travel_ugc_reviews,mafengwo.cn
Dazhong Dianping,CHN,2003,edge_case,"Dianping is China's leading UGC review platform for restaurants, hotels, and attractions, sharing the same core mechanism of user-generated reviews/ratings creating network effects and an SEO moat, though its primary positioning is local consumption rather than travel-specific.",travel_hospitality__travel_ugc_reviews,dianping.com
NotCo,CHL,2015,variant,"Chilean food-tech company using AI-driven ingredient optimization to create branded plant-based alternatives to meat, dairy, and eggs, replicating the Beyond Meat model in Latin America.",agritech_foodtech__alternative_protein_cpg,notco.com
Innoviz Technologies,ISR,2016,variant,"Innoviz develops automotive-grade LiDAR sensors and perception software with OEM design wins (e.g., BMW), serving as the Israeli geographic variant.",av_robotics__automotive_lidar_sensor,innoviz.tech
Black Forest Labs,DEU,2024,variant,Germany-based team (ex-Stability) training frontier generative visual models (FLUX series) and monetizing through API and commercial licensing.,ai_ml_platform__generative_visual_model,blackforestlabs.ai
4Paradigm,CHN,2014,variant,"4Paradigm is the 'DataRobot for China,' providing an end-to-end enterprise ML platform that helps Chinese enterprises operationalize AI across the full lifecycle.",ai_ml_platform__enterprise_ml_platform,4paradigm.com
Legora,SWE,2023,variant,"Legora is an explicitly identified geo-variant adapting the Harvey model for the Scandinavian/European legal market, empowering lawyers with AI for document review, research, and drafting.",ai_ml_vertical__ai_legal_assistant,legora.com
Torq,ISR,2020,variant,"Torq is an AI-first no-code security automation platform based in Israel, replicating the Tines model as a direct geo variant.",cybersecurity__nocode_security_workflow_automation,torq.io
RELX Technology,CHN,2018,variant,"RELX replicates JUUL's closed-pod e-cigarette model with proprietary devices and pods, targeting adult smokers primarily in China.",dtc_retail__pod_based_vaping,relxtech.com
Mamaearth,IND,2016,variant,"Mamaearth is India's direct replica of the Honest Company model—a DTC brand that started with toxin-free baby and toddler care products, marketed to health-conscious Indian parents, and expanded into broader personal care and beauty.",dtc_retail__clean_label_baby_personal_care,mamaearth.in
Coralogix,ISR,2016,variant,"Coralogix is an Israel-based SaaS observability platform ingesting logs, metrics, and traces with ML-driven analytics, replicating the Datadog playbook for a different geo origin.",cloud_infra__observability_monitoring,coralogix.com
Firebolt,ISR,2019,variant,Firebolt is an Israel-based cloud data warehousing platform replicating Snowflake's separated compute/storage model with a focus on sub-second analytics performance.,cloud_infra__cloud_data_warehouse,firebolt.io
POIZON,HKG,2015,variant,POIZON replicates the StockX authentication-centered sneaker and streetwear marketplace model for the Chinese/HK Gen-Z market.,ecom_vertical__authenticated_sneaker_marketplace,poizon.com
UpGrad,IND,2015,variant,"UpGrad is the Coursera model replicated in India, partnering with universities like IIIT Bangalore and Liverpool John Moores to deliver online degrees and certificates to working professionals.",edtech__university_partnered_online_education,upgrad.com
Dock,BRA,2014,variant,"Dock is a Brazilian fintech infrastructure provider whose core offering integrates card issuing and processing APIs for third-party fintechs, replicating the Marqeta model for Brazil.",fintech_infra__card_issuing_infrastructure,dock.tech
Veriff,EST,2015,variant,"Estonia-based identity verification company providing document and biometric verification APIs to businesses, a clear Trulioo-like model for Europe.",fintech_infra__identity_verification_api,veriff.com
XTransfer,CHN,2017,variant,"XTransfer replicates the Airwallex model for Chinese foreign trade enterprises, offering cross-border B2B payment and FX/risk-control infrastructure.",fintech_infra__cross_border_b2b_payments,xtransfer.com
Alpaca,JPN,2015,variant,"Alpaca provides a brokerage API enabling developers and businesses to embed securities trading and investing into their apps, directly replicating the DriveWealth model with roots in Japan.",fintech_infra__brokerage_infrastructure_api,alpaca.markets
Foodics,SAU,2014,variant,"Foodics is a restaurant management system in Saudi Arabia offering POS, payments, inventory, employee scheduling, and CRM — a clear Toast-for-MENA replication.",enterprise_saas_vertical__restaurant_cloud_pos,foodics.com
Filevine,USA,2014,variant,"Filevine is a US-based legal operating platform covering case management, document management, and lead management for law firms, directly competing with Clio.",enterprise_saas_vertical__legal_practice_mgmt,filevine.com
Pigment,FRA,2019,variant,Pigment is a France-based business forecasting and planning platform explicitly positioned as a next-generation Anaplan alternative with European go-to-market and data residency.,enterprise_saas_horizontal__cloud_business_planning,gopigment.com
UiPath,USA,2005,variant,"UiPath is a Romania-origin enterprise RPA platform offering software robots, orchestration, and per-bot licensing in direct replication of the Blue Prism model.",enterprise_saas_horizontal__rpa_platform,uipath.com
monday.com,ISR,2012,variant,"Israel-based replication of the Asana playbook with a more visual, no-code orientation, serving cross-functional teams via freemium per-seat subscriptions.",enterprise_saas_horizontal__cloud_work_management,monday.com
n8n,DEU,2019,variant,"n8n is the open-source Zapier alternative from Germany, replicating the trigger-action workflow automation model with self-hosted and cloud options and a freemium distribution wedge.",enterprise_saas_horizontal__workflow_automation_platform,n8n.io
Alan,FRA,2016,variant,"Alan is the direct French geo-adaptation of Oscar's model, operating as a licensed digital health insurer with a consumer-grade app experience for employer health insurance in France.",insurtech__tech_first_health_insurer,alan.com
Wayflyer,IRL,2019,variant,"Wayflyer is the acknowledged European (Ireland) replication of the Clearco model, providing revenue-based funding and marketing analytics to e-commerce businesses.",fintech_lending__ecommerce_revenue_financing,wayflyer.com
Konfio,MEX,2013,variant,"Konfio is a known geographic replication of the Kabbage model in Mexico, providing automated, data-driven credit to underserved Mexican SMBs.",fintech_lending__automated_smb_lending,konfio.mx
Dream11,IND,2008,variant,"Dream11 is India's leading daily fantasy sports platform where users draft real-athlete lineups and compete in paid-entry contests, replicating the FanDuel model for the Indian market.",gaming__daily_fantasy_sports,dream11.com
Awardco,USA,2011,variant,"Awardco is a direct US competitor specializing in employee recognition and rewards with a points-based redemption catalog (Amazon integration), sold per-employee to corporate HR.",hr_workforce__employee_recognition_rewards,awardco.com
Lattice,USA,2015,variant,"Lattice is a direct US competitor offering the same engagement surveys, continuous performance reviews, OKR tracking, and people analytics as a standalone point solution for HR teams.",hr_workforce__employee_engagement_performance,lattice.com
Judo Bank,AUS,2016,variant,"Judo Bank is a clear Australian geographic adaptation of the OakNorth model—a challenger bank built specifically for relationship-based SME lending using technology to serve the underbanked mid-market segment.",fintech_neobanking__tech_sme_lending_bank,judo.bank
Ankorstore,FRA,2019,variant,"Ankorstore is a known Faire-for-Europe variant, connecting independent shop owners with specialist brands via a curated wholesale marketplace with buyer-friendly terms in France/EU.",b2b_marketplace__indie_retail_wholesale,ankorstore.com
Moglix,SGP,2015,variant,"Former anchor, demoted in Phase 3b re-election. Original rationale: Moglix is the canonical anchor — a B2B e-commerce marketplace aggregating MRO and industrial supplies for manufacturing enterprises with integrated logistics and financing.",b2b_marketplace__mro_supplies,moglix.com
MGI Tech,CHN,2016,variant,"MGI Tech is a China-based sequencing instrument manufacturer (DNBSEQ series) with proprietary consumables, representing the clearest 'Illumina for China' pattern.",healthtech_biotech__sequencing_instruments_platform,mgitech.cn
Harbour Biomed,CHN,2016,variant,"Chinese biotech with proprietary H2L2 and HCAb transgenic mouse platforms for fully-human and heavy-chain-only antibody discovery, licensed to partners while building its own pipeline.",healthtech_biotech__biologics_technology_platform,harbourbiomed.com
Frete.com,BRA,2021,edge_case,"Brazilian freight technology platform using technology to connect carriers with truck drivers, replicating the digital trucking marketplace model in Brazil.",logistics_supply_chain__digital_trucking_marketplace,frete.com
Shiprocket,IND,2017,variant,"Shiprocket replicates the Shippo model in India, aggregating multiple carriers for e-commerce merchants with rate comparison, label generation, and integration with Indian e-commerce platforms.",logistics_supply_chain__ecommerce_shipping_aggregator,shiprocket.in
ICEYE,FIN,2014,variant,"ICEYE operates a proprietary SAR micro-satellite constellation from Finland, selling all-weather Earth observation data and analytics — a direct geographic variant of the Planet model using radar instead of optical sensors.",space_aerospace__smallsat_earth_observation,iceye.com
Iwjw,CHN,2014,edge_case,"Iwjw operated a technology-powered O2O brokerage in China with directly hired agents equipped with mobile technology for property transactions, though primarily focused on rentals.",proptech__tech_brokerage,iwjw.com
Bird,NLD,2011,variant,"Bird (formerly MessageBird) is a Netherlands-based CPaaS platform offering enterprise communication APIs across SMS, WhatsApp, and voice, a clear geo replication of the Vonage model.",telecom__cpaas_cloud_comms,bird.com
HyalRoute Communication Group,SGP,2015,variant,"HyalRoute operates shared communication fiber infrastructure in Southeast Asia, leasing network access to multiple carriers and enterprises, serving as a Crown Castle-like neutral-host InfraCo for the Singapore/APAC geography.",telecom__neutral_shared_infra,hyalroute.com
Zhihu,CHN,2011,variant,"Zhihu is China's leading Q&A knowledge community replicating Quora's core mechanism—user-posted questions, long-form community answers, upvoting, topic organization, SEO distribution, and ad/premium monetization—for the Chinese market.",social_community__qa_knowledge,zhihu.com
Snow Corporation,KOR,2015,variant,"Snow is a camera-first photo/video app with localized AR filters and stickers, replicating Snapchat's core mechanism for the South Korean market.",social_community__camera_filter_social,snow.me
Xiaohongshu,CHN,2013,variant,"China's leading visual lifestyle social feed combining user-generated photo/video reviews of fashion, beauty, and travel with social commerce discovery — a direct Instagram-for-China analogue.",social_community__visual_lifestyle_feed,xiaohongshu.com
Klook,SGP,2014,variant,"Klook is a known example replicating the GetYourGuide model for the Asia-Pacific market, offering travelers a mobile-first marketplace to discover and book local tours, attractions, and experiences with commission-based monetization.",travel_hospitality__tours_activities_marketplace,klook.com
ixigo,IND,2006,variant,"ixigo is a known Indian travel metasearch platform that aggregates and compares fares across OTAs and suppliers, replicating Skyscanner's model for India.",travel_hospitality__travel_metasearch,ixigo.com
